uri:/instrument/1.0/EBAY/chartdata;type=quote;range=10y/csv
ticker:ebay
Company-Name:eBay Inc.
Exchange-Name:NMS
unit:WEEK
timestamp:
first-trade:19980924
last-trade:20170417
currency:USD
previous_close_price:14.1077
Date:20070423,20170417
labels:20070423,20080107,20090105,20100104,20110103,20120103,20130107,20140106,20150105,20160104,20170103
values:Date,close,high,low,open,volume
close:4.3897,34.4400
high:4.6254,34.7400
low:4.1709,34.0900
open:4.3224,34.3500
volume:4246775,88776528
20110321,13.3418,13.6279,12.6136,13.0303,19007860
20110328,13.1987,13.4133,12.7483,13.3923,30242900
20110404,13.1061,13.8258,12.9924,13.1987,20170380
20110411,13.3039,13.3544,12.7062,13.1481,19307300
20110418,13.4470,13.5648,12.8114,13.1313,17850950
20110425,14.4739,14.5833,13.5732,13.6532,32164440
20110502,13.7710,14.4697,13.5438,14.1877,20537280
20110509,14.1288,14.4697,13.6237,13.7121,22588700
20110516,13.6700,14.0572,13.4933,14.0278,14965980
20110523,12.9125,13.4680,12.7652,13.4680,27591500
20110531,12.7525,13.2197,12.7441,13.1145,28437400
20110606,12.6094,13.0261,12.4074,12.7189,34548520
20110613,12.1338,12.7399,11.8939,12.6473,33170940
20110620,11.9318,12.5758,11.8519,12.0665,35464760
20110627,13.7795,13.8131,11.8855,11.8897,51928200
20110705,14.0657,14.1414,13.6153,13.7837,22941976
20110711,13.8089,14.3392,13.4343,13.9310,32428540
20110718,14.0993,14.7264,13.6153,13.8089,41749980
20110725,13.7837,14.5160,13.7668,13.8678,25038000
20110801,12.3316,14.0404,12.0034,13.9394,44855180
20110808,12.8493,12.9125,11.3384,11.9276,49369020
20110815,11.4310,13.0429,11.3047,12.8956,27877840
20110822,12.3990,12.4874,11.4141,11.6919,26136280
20110829,12.3779,13.2955,12.2727,12.5126,25875540
20110906,11.9781,12.8998,11.9024,11.9992,34039376
20110912,14.1793,14.2677,11.9529,11.9697,40033800
20110919,13.5017,14.2130,12.9545,13.9731,40700880
20110926,12.4116,14.0109,12.2643,13.6027,36023580
20111003,13.0766,13.2660,11.5362,12.2811,36935120
20111010,14.1793,14.2593,13.2197,13.3375,26816140
20111017,13.5185,14.4907,12.8998,14.1330,38723780
20111024,13.9941,14.0152,12.9040,13.4596,27845440
20111031,13.7668,13.9310,12.9209,13.7879,29426382
20111107,13.3670,13.8847,12.8283,13.7163,23422140
20111114,12.5463,13.3754,12.2433,13.3291,22154300
20111121,11.8813,12.4032,11.8476,12.3443,21710600
20111128,12.4579,12.7483,11.9949,12.3316,25011520
20111205,13.3165,13.3712,12.7946,12.9377,27202540
20111212,12.7946,13.3460,12.2391,13.1566,28184340
20111219,12.9798,13.0051,12.4747,12.8788,18151980
20111227,12.7652,13.0640,12.5884,12.9672,9913050
20120103,12.8914,13.2576,12.4369,12.9756,38056400
20120109,12.8872,13.4680,12.7020,13.0513,22640920
20120117,13.4386,13.4470,12.5800,13.1103,49808624
20120123,13.4049,13.6574,13.2365,13.3586,19447740
20120130,13.8678,14.0025,13.1860,13.2786,22564820
20120206,13.9015,14.0488,13.6322,13.7626,19400760
20120213,14.7559,14.8190,13.7710,14.0109,26576382
20120221,15.3030,15.3704,14.4781,14.7559,26856524
20120227,15.2567,15.4882,15.0000,15.2189,25294800
20120305,15.2567,15.3283,14.6591,14.9747,22415240
20120312,15.8628,15.9512,15.0421,15.3030,29987840
20120319,15.6103,15.9891,15.5429,15.6818,20202580
20120326,15.5303,16.0690,15.4335,15.7828,22736520
20120402,14.9916,15.5135,14.8779,15.4377,26028924
20120409,15.2020,15.4545,14.8611,14.9537,21086200
20120416,16.9571,17.6094,14.9116,15.2609,50778640
20120423,17.3527,17.5000,16.4478,16.5783,32058318
20120430,16.5993,17.6599,16.5530,17.4074,28343418
20120507,17.1465,17.4242,16.4141,16.5025,32792140
20120514,16.1448,17.1296,16.0859,17.0160,28117718
20120521,16.9823,17.1128,16.1574,16.2079,28136982
20120529,16.3384,17.5337,15.9933,17.0749,46103800
20120604,17.2769,17.5589,16.3258,16.3973,27531618
20120611,17.1170,17.5084,16.6667,17.3611,30084118
20120618,18.0135,18.4933,17.0833,17.1254,43449920
20120625,17.6810,18.0556,16.9108,17.7778,27248918
20120702,17.0076,17.7988,16.8140,17.7652,19102576
20120709,16.8140,17.3401,16.2121,17.0455,22790620
20120716,18.8763,19.1414,16.0185,16.7172,48244560
20120723,19.0320,19.1414,18.0177,18.4175,30385940
20120730,18.7290,19.4234,18.2071,18.9773,23241860
20120806,18.5143,19.3561,18.4049,18.7668,19636480
20120813,19.7264,19.8022,18.5438,18.5480,28651560
20120820,19.8232,20.2357,19.1456,19.8106,26661518
20120827,19.9790,20.1641,19.5623,19.9285,18965260
20120904,20.7239,20.7365,19.5118,19.9790,28161724
20120910,21.0311,21.3173,20.0673,20.6229,25720240
20120917,20.8207,21.2458,20.7534,21.2374,22453680
20120924,20.3577,20.8880,19.9327,20.7618,23490680
20121001,20.5093,21.1448,20.1810,20.4419,18213400
20121008,20.1389,20.5598,19.4108,20.3409,26130160
20121015,21.0311,21.4394,19.4655,20.1052,46299460
20121022,20.8375,21.2753,20.2862,21.0143,23485600
20121031,20.4924,20.8712,20.2483,20.8249,25269400
20121105,20.0884,21.0354,19.9116,20.5261,20166940
20121112,19.8906,20.2904,19.2172,20.0968,19636180
20121119,20.6271,20.6860,19.9832,20.0884,15900775
20121126,22.2306,22.3064,20.7786,20.7955,31801700
20121203,21.7761,22.3695,21.6372,22.3359,18099640
20121210,21.1953,22.1591,21.1153,21.8603,22454540
20121217,21.6120,22.1128,21.1322,21.2626,26690418
20121224,20.9638,21.7971,20.9049,21.5025,14930975
20121231,22.2138,22.6010,20.7071,20.9428,22946124
20130107,22.6010,22.8114,21.9108,22.1086,23090000
20130114,22.8157,23.0976,21.8350,22.5505,36825520
20130122,23.7921,23.8468,22.3316,22.7904,27203024
20130128,24.0783,24.1035,23.2702,23.6490,18205200
20130204,23.8300,24.0236,23.2955,23.8426,17848900
20130211,23.8636,24.0993,23.4638,23.7879,19224460
20130219,23.1566,24.0320,22.6852,23.9310,17174724
20130225,23.1061,23.4217,22.3569,23.3207,18751380
20130304,22.3611,23.5690,21.9949,22.8704,26920418
20130311,21.2163,22.4495,21.1827,22.3485,39824500
20130318,22.4200,22.5000,20.8544,20.9848,31435900
20130325,22.8199,22.9419,21.4436,22.4747,38954952
20130401,23.3670,23.9015,22.9377,23.4175,28744082
20130408,24.1204,24.4276,23.2702,23.3249,18085900
20130415,22.0497,24.1919,21.8434,23.9815,34924880
20130422,22.1128,22.4579,21.5320,21.9444,27921282
20130429,22.8157,22.9419,21.8519,22.1423,19596180
20130506,23.4217,23.5648,22.3485,22.7525,18763220
20130513,23.8678,24.0362,23.1860,23.4806,21429520
20130520,22.9966,23.8468,22.4411,23.8047,23764440
20130528,22.7694,23.6742,22.7231,23.2534,23761250
20130603,21.6540,22.6810,21.3931,22.6684,28413140
20130610,21.5867,22.4705,21.3131,21.8013,24742820
20130617,21.5194,22.3022,21.1490,21.8434,23884460
